vertex,label
5,right_middle_lobe_primary_3
18,right_middle_lobe_primary_3
17,right_middle_lobe_primary_3
19,right_middle_lobe_primary_3
24,right_middle_lobe_primary_3
1,right_middle_lobe_primary_3
2,right_middle_lobe_primary_3
7_0,4l_mediastinal_lymph_node
52,4r_mediastinal_lymph_node
29,aortic_arch_lymph_node
11,pericardium_7
62,right_middle_lobe_primary_3
39,pericardial_fluid
20_0,left_ventricle_2
37,4l_mediastinal_lymph_node
28,4r_mediastinal_lymph_node
44,aortic_arch_lymph_node
26_0,aortic_arch_lymph_node
51,right_middle_lobe_primary_3
53,right_middle_lobe_primary_3
13,right_middle_lobe_primary_3
22,4r_mediastinal_lymph_node
56,aortic_arch_lymph_node
8,right_ovary
43,right_middle_lobe_primary_3
10,right_middle_lobe_primary_3
16,right_middle_lobe_primary_3
40,right_upper_lobe_5
46_0,paraoesophageal_lymph_node
4,right_middle_lobe_primary_3
45,pericardium_6
66,right_ovary
67,right_ovary
55,left_main_bronchus
57,left_main_bronchus
3,right_middle_lobe_primary_3
35,right_middle_lobe_primary_3
6,right_middle_lobe_primary_3
9,right_middle_lobe_primary_3
41,paraoesophageal_lymph_node
12,paraoesophageal_lymph_node
15,pericardium_7
31,right_middle_lobe_primary_3
36,right_middle_lobe_primary_3
38,pericardium_6
42,right_ovary
49,right_ovary
58,left_lower_lobe_8
59,left_lower_lobe_8
64,left_main_bronchus
25,aortic_arch_lymph_node
7_1,4r_mediastinal_lymph_node
14,4l_mediastinal_lymph_node
7_2,aortic_arch_lymph_node
23_0,4r_mediastinal_lymph_node
7_3,diaphragm_lymph_node
7_4,right_upper_lobe_5
7_5,paraoesophageal_lymph_node
20_1,right_pleura_3
20_2,right_lower_lobe_16
20_4,pericardium_7
32,right_pleura_3
20_3,right_upper_lobe_5
65_0,right_lower_lobe_16
48_0,right_lower_lobe_16
26_1,diaphragm_lymph_node
34_0,diaphragm_lymph_node
34_1,pericardial_fluid
34_4,left_lower_lobe_8
63_0,diaphragm_lymph_node
34_2,right_atrium
34_3,left_ventricle_2
60,pericardial_fluid
46_1,diaphragm_lymph_node
33,right_lower_lobe_16
63_1,right_upper_lobe_5
65_1,right_upper_lobe_5
65_2,diaphragm_lymph_node
23_1,pericardium_7
48_1,right_upper_lobe_5
dummy_root,right_middle_lobe_primary_3
