vertex,label
58,left_upper_lobe_primary_1
31,left_upper_lobe_11
11,left_upper_lobe_primary_1
10_0,right_lung_2
2,right_lung_5
60,right_lung_5
26,right_lung_4
7,left_upper_lobe_10
43,right_lung_5
8,right_lung_2
19,right_lung_2
42_0,right_lung_3
47,left_upper_lobe_primary_1
63,left_upper_lobe_primary_1
57,left_upper_lobe_primary_1
6,axillary_lymph_node_2
40,right_lung_5
3,pretracheal_lymph_node
33,pretracheal_lymph_node
51,left_upper_lobe_primary_1
29,left_upper_lobe_11
5,left_upper_lobe_11
16_0,left_upper_lobe_8
64,axillary_lymph_node_2
55_0,axillary_lymph_node_2
17,left_upper_lobe_9
20,left_upper_lobe_9
50,right_lung_6
34,right_lung_2
15,right_lung_2
22,right_lung_5
54,pretracheal_lymph_node
14,right_lung_3
1,right_lung_3
12,left_upper_lobe_8
9,left_upper_lobe_8
13,left_upper_lobe_primary_1
18,left_upper_lobe_primary_1
61,left_upper_lobe_primary_1
27,left_upper_lobe_11
24,left_upper_lobe_8
30,right_lung_4
39,axillary_lymph_node_3
48,right_lung_6
49,right_lung_2
56,right_lung_2
4_0,left_upper_lobe_primary_1
4_1,left_upper_lobe_8
4_2,left_upper_lobe_10
4_3,left_upper_lobe_9
21,left_upper_lobe_10
10_1,right_lung_3
28_0,left_upper_lobe_primary_1
52_0,left_upper_lobe_8
28_1,right_lung_4
42_1,right_lung_1
37,right_lung_1
16_1,right_lung_4
16_3,right_lung_6
32,left_upper_lobe_9
16_2,left_upper_lobe_10
55_1,axillary_lymph_node_3
55_2,axillary_lymph_node_progression
55_3,axillary_lymph_node_1
41,axillary_lymph_node_1
52_1,left_upper_lobe_9
52_3,left_upper_lobe_10
52_2,right_lung_6
dummy_root,left_upper_lobe_primary_1
