vertex,label
9,subcarinal_lymph_node_relapse_1
19,subcarinal_lymph_node_relapse_1
5,right_parietal_lobe_1
11,subcarinal_lymph_node_relapse_1
17,left_lower_lobe_primary_1
8,left_lower_lobe_primary_1
7,left_lower_lobe_primary_1
2,left_lower_lobe_primary_1
6,left_lower_lobe_primary_1
1,left_lower_lobe_primary_1
10,left_lower_lobe_primary_1
16,left_lower_lobe_primary_1
20,left_lower_lobe_primary_1
18,left_lower_lobe_primary_1
13,left_lower_lobe_primary_1
4,left_lower_lobe_primary_1
12,left_lower_lobe_primary_1
14,right_parietal_lobe_1
15_0,right_parietal_lobe_2
3,left_lower_lobe_primary_1
15_1,left_parietal_lobe_1
dummy_root,left_lower_lobe_primary_1
