vertex,label
1,right_lower_lobe_primary_3
16,right_lower_lobe_primary_3
3,right_lower_lobe_primary_3
2,subcutaneous_chest_wall
7,right_lower_lobe_primary_3
6_0,subcutaneous_chest_wall
13_0,subcutaneous_chest_wall
11,right_lower_lobe_primary_3
9,right_lower_lobe_primary_3
5,right_lower_lobe_primary_3
10,subcutaneous_chest_wall
12,subcutaneous_chest_wall
15,right_lower_lobe_primary_3
17,right_lower_lobe_primary_3
6_1,right_lower_lobe_1
14,right_lower_lobe_1
13_1,right_lower_lobe_1
8,right_lower_lobe_1
dummy_root,right_lower_lobe_primary_3
