vertex,label
1,left_upper_lobe_primary_3
25,right_lower_lobe_7
10_0,left_upper_lobe_primary_3
18_0,right_lower_lobe_7
19,left_lower_lobe_4
4,left_lower_lobe_4
32,left_upper_lobe_primary_3
14,left_upper_lobe_primary_3
11,right_lower_lobe_2
16,right_lower_lobe_2
20,right_middle_lobe_2
21,right_middle_lobe_2
27,left_upper_lobe_primary_3
23,left_upper_lobe_primary_3
15,mediastinal_lymph_node_4
24,mediastinal_lymph_node_4
17,right_lower_lobe_7
31,right_lower_lobe_7
28,right_lower_lobe_10
7,right_lower_lobe_10
10_1,right_lower_lobe_9
10_2,left_lower_lobe_4
10_5,right_lower_lobe_10
12,left_upper_lobe_primary_3
9_0,left_upper_lobe_primary_3
10_3,right_lower_lobe_11
8_0,right_lower_lobe_9
10_4,right_lower_lobe_8
29_0,right_lower_lobe_11
29_1,right_lower_lobe_8
22,right_upper_lobe_4
29_2,right_lower_lobe_7
6,right_lower_lobe_8
18_1,right_lower_lobe_10
9_1,right_lower_lobe_9
13,left_upper_lobe_primary_3
8_1,right_lower_lobe_11
26,right_lower_lobe_9
3,right_lower_lobe_11
5_0,right_lower_lobe_8
5_1,right_lower_lobe_2
dummy_root,left_upper_lobe_primary_3
