vertex,label
1,primary
2,primary
3,adrenal
4,primary
5,bone
6,adrenal
9,brain
11,peritoneum	bladder	cardiac	liver	lymphnode	lung	softtissue
12,primary
13,lung
14,brain
15,primary
16,su_lymphnode
17,su_lymphnode
18,primary
19,peritoneum
20,su_lymphnode
21,brain
22,brain
23,liver
24,softtissue
25,adrenal
26,su_lymphnode
27,liver
28,su_lymphnode
29,peritoneum
30,adrenal
31,adrenal
33,primary
34,softtissue
35,liver
36,bone
37,brain
38,adrenal	lymphnode
39,primary
40,peritoneum
41,lymphnode
42,su_lymphnode
43,primary
44,brain
45,liver
46,brain
47,brain
48,brain
49,peritoneum
50,lung
52,liver
54,peritoneum
55,peritoneum
