3	right_lower_lobe_11
4	left_lower_lobe_4
5	right_lower_lobe_8 right_lower_lobe_2
6	right_lower_lobe_8
7	right_lower_lobe_10
8	right_lower_lobe_9 right_lower_lobe_11
9	left_upper_lobe_primary_3 right_lower_lobe_9
10	left_upper_lobe_primary_3 left_lower_lobe_4 right_lower_lobe_8 right_lower_lobe_9 right_lower_lobe_10 right_lower_lobe_11
11	right_lower_lobe_2
12	left_upper_lobe_primary_3
13	left_upper_lobe_primary_3
14	left_upper_lobe_primary_3
15	mediastinal_lymph_node_4
16	right_lower_lobe_2
17	right_lower_lobe_7
18	right_lower_lobe_7 right_lower_lobe_10
19	left_lower_lobe_4
20	right_middle_lobe_2
21	right_middle_lobe_2
22	right_upper_lobe_4
23	left_upper_lobe_primary_3
24	mediastinal_lymph_node_4
25	right_lower_lobe_7
26	right_lower_lobe_9
27	left_upper_lobe_primary_3
28	right_lower_lobe_10
29	right_lower_lobe_7 right_lower_lobe_8 right_lower_lobe_11
31	right_lower_lobe_7
32	left_upper_lobe_primary_3
