vertex,label
4,right_upper_lobe_primary_5
45,right_upper_lobe_primary_5
27,right_upper_lobe_primary_5
2,right_lung_mass
13,right_lung_mass
41,right_lung_mass
6,right_lung_mass
3,right_lung_mass
21,right_lung_mass
48,right_lung_mass
5,right_lung_mass
25,right_lung_mass
11,right_lung_mass
20_0,right_lung_mass
19,right_lung_mass
12,pericardium_2
39_0,right_lung_mass
14,right_lung_mass
46,right_lung_mass
15,right_lung_mass
22,right_upper_lobe_primary_5
56,right_upper_lobe_primary_5
16,right_upper_lobe_primary_5
53,right_lung_mass
31,right_lung_mass
26,right_lung_mass
30,right_lung_mass
18,right_lung_mass
34,right_lung_mass
35,right_upper_lobe_primary_5
49,right_upper_lobe_primary_5
1,right_lung_mass
7,right_lung_mass
9,right_lung_mass
17,left_lung_mass
10,left_lung_mass
23,pericardium_2
33,right_lung_mass
32,right_lung_mass
47,right_lung_mass
50,right_lung_mass
52,right_lung_mass
54,right_lung_mass
28,right_upper_lobe_primary_5
57,right_upper_lobe_primary_5
42,right_upper_lobe_primary_5
39_1,left_lung_mass
55_0,right_lung_mass
8,left_lung_mass
55_1,left_lung_mass
55_2,pericardium_2
20_1,left_lung_mass
24_0,right_lung_mass
24_1,left_lung_mass
36,right_lung_mass
37,right_lung_mass
dummy_root,right_upper_lobe_primary_5
