1	26
3	20
76	3
1	76
26	2
20	18
51	86
20	28
20	80
2	22
8	51
22	8
2	14
80	67
20	34
18	64
86	95
20	13
28	54
14	79
67	9
34	66
64	102
20	42
95	94
28	27
8	46
22	19
13	84
20	92
54	45
79	44
67	62
20	12
9	70
54	60
8	31
66	71
102	25
42	99
94	40
46	91
19	23
27	37
84	15
92	49
28	11
45	63
44	101
62	90
28	97
20	41
12	6
70	7
60	10
31	16
71	17
92	24
8	29
14	32
25	36
8	38
8	39
20	43
28	47
99	52
34	55
27	59
40	61
102	65
91	72
14	73
23	74
37	75
8	77
8	78
66	81
15	83
49	85
11	89
14	96
63	98
101	103
90	104
97	21
14	33
28	68
