vertex,label
2,primary
3,primary;bone;brain
6,bone
7,lymphnode
8,liver
9,lymphnode
10,adrenal
11,lymphnode
12,bone
13,primary
15,primary
16,liver
17,bone
18,primary
19,primary
20,adrenal;primary;brain
21,adrenal
22,primary
23,primary
24,brain
25,brain
26,primary
27,adrenal
28,adrenal;lymphnode
29,liver
31,liver
32,primary
33,primary
34,bone
36,brain
37,adrenal
38,liver
39,liver
40,liver
41,adrenal
42,brain
43,brain
44,primary
45,adrenal
46,liver
47,lymphnode
49,brain
51,liver
52,brain
54,adrenal
55,adrenal
59,adrenal
60,adrenal
61,liver
62,primary
63,adrenal
64,brain
65,brain
66,bone
68,adrenal
70,lymphnode
71,bone
72,liver
73,primary
74,primary
75,adrenal
76,liver
77,liver
78,liver
79,primary
81,bone
83,primary
84,primary
85,brain
86,liver
89,lymphnode
90,bone
91,liver
92,brain
94,liver
95,liver
96,primary
98,adrenal
99,brain
101,primary
102,brain
103,primary
104,primary
