vertex,label
8,subcarinal_lymph_node
12_0,subcarinal_lymph_node
36,right_hilar_lymph_node_1
7,right_hilar_lymph_node_1
3,right_hilar_lymph_node_1
1,left_multi_lobe_primary
41,left_multi_lobe_primary
52,subcarinal_lymph_node
5,left_multi_lobe_primary
53,subcarinal_lymph_node
22,subcarinal_lymph_node
6,subcarinal_lymph_node
2,right_hilar_lymph_node_1
49,left_multi_lobe_primary
14,left_multi_lobe_primary
11,subcarinal_lymph_node
29,left_multi_lobe_primary
39,subcarinal_lymph_node
48,subcarinal_lymph_node
16,subcarinal_lymph_node
18,lymph_node_relapse
25,subcarinal_lymph_node
26,subcarinal_lymph_node
46,left_hilar_lymph_node_2
47,left_hilar_lymph_node_2
30,left_hilar_lymph_node_2
37,lymph_node_relapse
21,right_hilar_lymph_node_1
32_0,right_hilar_lymph_node_1
34,subcarinal_lymph_node
24,left_hilar_lymph_node_1
10,left_hilar_lymph_node_1
13,lymph_node_relapse
15,left_multi_lobe_primary
17,subcarinal_lymph_node
23,right_hilar_lymph_node_1
27,left_hilar_lymph_node_2
35,left_multi_lobe_primary
50,subcarinal_lymph_node
12_1,left_hilar_lymph_node_1
9_0,left_hilar_lymph_node_1
9_1,left_hilar_lymph_node_2
32_1,right_hilar_lymph_node_2
44_0,right_hilar_lymph_node_1
40,right_hilar_lymph_node_2
44_1,right_hilar_lymph_node_2
51,right_hilar_lymph_node_1
28,right_hilar_lymph_node_2
38,right_hilar_lymph_node_2
dummy_root,left_multi_lobe_primary
