vertex,label
19,right_lower_lobe_primary_4
2,left_lower_lobe_2
20,right_lower_lobe_primary_4
3,right_lower_lobe_primary_4
6,left_lower_lobe_2
9,right_lower_lobe_primary_4
21,left_lower_lobe_2
31,right_lower_lobe_primary_4
24,right_lower_lobe_primary_4
5_0,surgery_lymph_node_3
25,right_lower_lobe_primary_4
8,left_lower_lobe_2
12,left_lower_lobe_2
26,left_lower_lobe_2
15,right_lower_lobe_primary_4
16,right_lower_lobe_3
23,right_lower_lobe_primary_4
28,right_lower_lobe_primary_4
18,right_lower_lobe_3
22,right_lower_lobe_3
11,left_lower_lobe_2
14,left_lower_lobe_2
7,left_lower_lobe_2
10,left_lower_lobe_2
1,right_lower_lobe_primary_4
4,right_lower_lobe_primary_4
5_1,surgery_lymph_node_4
27_0,surgery_lymph_node_3
27_1,surgery_lymph_node_4
29,surgery_lymph_node_3
13,surgery_lymph_node_4
dummy_root,right_lower_lobe_primary_4
