vertex,label
10,mediastinal_lymph_node_1
48,mediastinal_lymph_node_1
4,mediastinal_lymph_node_1
15,oesophagus_2
16,oesophagus_2
5,oesophagus_2
2,left_paratracheal_lymph_node_relapse
14_0,left_paratracheal_lymph_node_relapse
28,left_paratracheal_lymph_node_relapse
8,right_upper_lobe_1
7,mediastinal_lymph_node_2
34_0,left_paratracheal_lymph_node_relapse
50,right_precarinal_lymph_node
9,right_precarinal_lymph_node
1,right_lower_lobe_primary_6
3,right_lower_lobe_primary_6
17,right_precarinal_lymph_node
19,oesophagus_2
41,right_lower_lobe_primary_6
59,right_lower_lobe_primary_6
32,right_lower_lobe_primary_6
39,right_lower_lobe_primary_6
33,right_lower_lobe_primary_6
43,right_lower_lobe_primary_6
58,right_lower_lobe_primary_6
52,right_lower_lobe_primary_6
23,right_lower_lobe_primary_6
27,right_lower_lobe_primary_6
6,left_precarinal_lymph_node
29,left_precarinal_lymph_node
36,right_lower_lobe_primary_6
53,right_lower_lobe_primary_6
60,right_lower_lobe_primary_6
13,right_upper_lobe_1
18,mediastinal_lymph_node_1
20,right_precarinal_lymph_node
21,right_lower_lobe_primary_6
24,mediastinal_lymph_node_2
25,left_precarinal_lymph_node
26,right_lower_lobe_primary_6
30,right_lower_lobe_primary_6
31,right_lower_lobe_primary_6
35,right_lower_lobe_primary_6
37,oesophagus_2
44,right_lower_lobe_primary_6
45,right_lower_lobe_primary_6
51,right_lower_lobe_primary_6
14_1,oesophagus_2
14_2,right_upper_lobe_1
54,left_paratracheal_lymph_node_relapse
14_3,mediastinal_lymph_node_1
11_0,retrocaval_abdominal_lymph_node
40,right_upper_lobe_1
57,surgery_lymph_node_12
11_1,paraaortic_abdominal_lymph_node
38,retrocaval_abdominal_lymph_node
11_2,hepatic_lymph_node
46,paraaortic_abdominal_lymph_node
61,hepatic_lymph_node
34_1,mediastinal_lymph_node_2
dummy_root,right_lower_lobe_primary_6
