vertex,label
1,right_upper_lobe_primary_4
26,right_upper_lobe_primary_4
76,liver_9
2,right_upper_lobe_primary_4
3_0,right_upper_lobe_primary_4
22,right_upper_lobe_primary_4
14,right_upper_lobe_primary_4
18,right_upper_lobe_primary_4
64,right_occipital_lobe
51,liver_3
86,liver_3
95,liver_3
80,right_upper_lobe_primary_4
67,right_upper_lobe_primary_4
19,right_upper_lobe_primary_4
8_0,liver_9
79,right_upper_lobe_primary_4
32,right_upper_lobe_primary_4
73,right_upper_lobe_primary_4
96,right_upper_lobe_primary_4
33,right_upper_lobe_primary_4
9,adrenal_adjacent_lymph_node
62,right_upper_lobe_primary_4
34,l4_vertebra_1
66,l4_vertebra_1
55,left_adrenal_1
102,right_occipital_lobe
94,liver_3
13,right_upper_lobe_primary_4
84,right_upper_lobe_primary_4
54,left_adrenal_1
45,left_adrenal_1
60,left_adrenal_1
44,right_upper_lobe_primary_4
70,adrenal_adjacent_lymph_node
71,l4_vertebra_1
81,l4_vertebra_1
25,right_occipital_lobe
65,right_occipital_lobe
42,left_frontal_lobe1
99,left_frontal_lobe1
40,liver_3
27,right_adrenal_1
37,right_adrenal_1
59,right_adrenal_1
46,liver_5
91,liver_7
23,right_upper_lobe_primary_4
15,right_upper_lobe_primary_4
92,left_frontal_lobe1
49,left_frontal_lobe1
24,left_frontal_lobe1
63,left_adrenal_1
101,right_upper_lobe_primary_4
90,4th_rib_1
12,4th_rib_1
6,4th_rib_1
7,adrenal_adjacent_lymph_node
10,left_adrenal_1
31,liver_2
16,liver_2
17,l4_vertebra_1
36,right_occipital_lobe
52,left_frontal_lobe1
61,liver_3
72,liver_7
74,right_upper_lobe_primary_4
75,right_adrenal_1
83,right_upper_lobe_primary_4
85,left_frontal_lobe1
11,retroperitoneal_lymph_node
89,retroperitoneal_lymph_node
98,left_adrenal_1
103,right_upper_lobe_primary_4
104,right_upper_lobe_primary_4
97,left_adrenal_relapse
21,left_adrenal_relapse
3_1,left_frontal_lobe1
3_2,4th_rib_1
20_0,right_upper_lobe_primary_4
20_1,left_frontal_lobe1
20_2,left_adrenal_relapse
43,left_frontal_lobe1
41,left_adrenal_relapse
28_0,retroperitoneal_lymph_node
28_1,right_adrenal_1
28_2,left_retroperitoneal_lymph_node
68,right_adrenal_1
47,left_retroperitoneal_lymph_node
8_1,liver_6
8_3,liver_4
8_4,liver_8
39,liver_9
8_2,liver_2
38,liver_6
8_5,liver_7
78,liver_4
29,liver_10
77,liver_8
dummy_root,right_upper_lobe_primary_4
