vertex,label
1,right_upper_lobe_primary_2
2,right_hilar_lymph_node_3
4,right_upper_lobe_primary_2
10,right_upper_lobe_primary_2
8_0,left_upper_lobe_12
3,left_upper_lobe_12
5_0,left_upper_lobe_12
14,right_upper_lobe_primary_2
6,right_upper_lobe_primary_2
13,right_upper_lobe_primary_2
9,right_upper_lobe_primary_2
15,right_upper_lobe_primary_2
5_1,right_tracheobronchial_lymph_node_2
11,left_upper_lobe_12
16,right_tracheobronchial_lymph_node_2
8_1,right_tracheobronchial_lymph_node_2
7,right_hilar_lymph_node_3
dummy_root,right_upper_lobe_primary_2
