vertex,label
39,right_lower_lobe_primary_5
18,right_lower_lobe_primary_5
43,right_lower_lobe_primary_5
1,right_lower_lobe_primary_5
10,right_lower_lobe_primary_5
32,right_lower_lobe_primary_5
4,right_lower_lobe_primary_5
38_0,left_paraaortic_lymph_node_1
17_0,surgery_lymph_node_9
15,right_lower_lobe_primary_5
33,right_lower_lobe_primary_5
53,right_lower_lobe_primary_5
54,pelvic_peritoneum_2
30,right_adrenal_3
7,left_paraaortic_lymph_node_1
14,right_parietal_lobe_3
22,left_cerebellum
21,right_frontal_lobe
11_0,left_paraaortic_lymph_node_1
47,right_parietal_lobe_3
2,right_lower_lobe_primary_5
25,right_adrenal_3
5,l3_vertebra
24,right_psoas_muscle
46,left_cerebellum
20,surgery_lymph_node_8
16_0,surgery_lymph_node_7
48,right_parietal_lobe_3
3,left_adrenal_3
6,left_adrenal_3
9,right_frontal_lobe
12,right_lower_lobe_primary_5
31,right_adrenal_3
34,right_psoas_muscle
37,left_cerebellum
44,right_parietal_lobe_3
40,small_bowel_mesentery_2
49,small_bowel_mesentery_2
38_1,right_adrenal_3
41,left_paraaortic_lymph_node_1
13,right_lower_lobe_13
11_1,liver_right_lobe_4
11_2,pelvic_peritoneum_2
11_7,peritoneal-mesentry_nodule
11_8,right_upper_lobe_micronodules
11_10,splenic_hilum_lymph_node
11_13,left_pleura
11_17,bladder_mass
11_4,peritoneal-caecal_serosa
11_5,pericardium_1
11_9,right_inguinal_lymph_node
11_11,diaphragm
11_12,liver_right_lobe_7
11_14,small_bowel_mesentery_1
11_15,peritoneal-sigmoid_serosa
11_16,right_paraaortic_lymph_node
23,liver_right_lobe_6
27,liver_right_lobe_4
35,liver_left_lobe_2
36,l1_vertebra_1
45,liver_right_lobe_5
52,liver_right_lobe_3
11_3,left_upper_lobe_micronodules
55,peritoneal-caecal_serosa
11_6,left_peritoneal-abominal_wall
19,peritoneal-mesentry_nodule
50,left_pleura
29,small_bowel_mesentery_1
17_1,surgery_lymph_node_11
26,surgery_lymph_node_9
28,surgery_lymph_node_11
16_1,surgery_lymph_node_10
42,surgery_lymph_node_7
dummy_root,right_lower_lobe_primary_5
