vertex,label
1,right_upper_lobe_primary_6
2,right_upper_lobe_primary_6
3,right_upper_lobe_primary_6
14,right_upper_lobe_primary_6
19,right_upper_lobe_primary_6
31,right_upper_lobe_primary_6
20,right_upper_lobe_primary_6
26,right_upper_lobe_primary_6
4_0,liver_left_lobe_1
41,liver_right_lobe_2
5,left_upper_lobe_5
22,left_upper_lobe_5
11,liver_left_lobe_1
24,liver_left_lobe_1
21,right_upper_lobe_primary_6
36,right_upper_lobe_primary_6
15,liver_left_lobe_1
30,right_lower_lobe_4
18,right_lower_lobe_4
32,right_upper_lobe_primary_6
33,left_upper_lobe_5
6,left_upper_lobe_5
25,right_upper_lobe_primary_6
4_1,right_lower_lobe_4
4_2,left_adrenal_2
4_3,liver_right_relapse_2
16,right_upper_lobe_2
17,right_upper_lobe_2
39,liver_right_lobe_2
7,right_middle_lobe_1
37,left_upper_lobe_6
13_0,right_lower_lobe_14
10,left_adrenal_2
13_1,left_upper_lobe_4
34,left_upper_lobe_13
28,left_upper_lobe_4
dummy_root,right_upper_lobe_primary_6
