vertex,label
1,left_upper_lobe_primary_5
70,left_upper_lobe_primary_5
28,left_upper_lobe_primary_5
46,left_upper_lobe_primary_5
81_0,left_mediastinal_mass
9,left_upper_lobe_primary_5
34,left_upper_lobe_primary_5
13,left_upper_lobe_primary_5
35,left_upper_lobe_primary_5
15,left_upper_lobe_primary_5
62,left_frontal_lobe2
36,left_frontal_lobe_surgical_bed
49,left_frontal_lobe2
64,left_frontal_lobe_surgical_bed
61,left_frontal_lobe_surgical_bed
8,left_kidney_2
2,left_frontal_lobe2
11,left_kidney_2
32,left_kidney_2
14,left_upper_lobe_primary_5
3,left_mediastinal_mass
42,left_upper_lobe_primary_5
58,left_upper_lobe_primary_5
6,left_upper_lobe_primary_5
91,left_mediastinal_mass
78,left_mediastinal_mass
7,left_frontal_lobe3
17,left_upper_lobe_primary_5
39,left_upper_lobe_primary_5
43,left_upper_lobe_primary_5
83,left_frontal_lobe2
48,left_frontal_lobe2
77,left_frontal_lobe2
67,left_frontal_lobe3
57,left_frontal_lobe3
74,left_frontal_lobe3
10,left_frontal_lobe_surgical_bed
89,left_frontal_lobe2
18,left_upper_lobe_primary_5
51,left_upper_lobe_primary_5
55,left_parailiac_lymph_node
75,left_parailiac_lymph_node
27,left_paraaortic_lymph_node_2
30,left_frontal_lobe3
12,left_kidney_2
95,left_kidney_2
79,left_frontal_lobe3
76,left_frontal_lobe3
24,left_upper_lobe_primary_5
20,left_upper_lobe_primary_5
56,left_frontal_lobe_surgical_bed
33,left_upper_lobe_primary_5
40,left_frontal_lobe3
54,left_upper_lobe_primary_5
93,left_frontal_lobe3
94,left_frontal_lobe3
71,left_frontal_lobe2
72,left_upper_lobe_primary_5
73,left_parailiac_lymph_node
25,left_paraaortic_lymph_node_2
38,left_paraaortic_lymph_node_2
85,left_kidney_2
92,left_mediastinal_mass
22,left_mediastinal_mass
80,left_mediastinal_mass
4,left_upper_lobe_primary_5
16,left_frontal_lobe_surgical_bed
19,left_mediastinal_mass
21,left_kidney_2
23,left_upper_lobe_primary_5
26,left_upper_lobe_primary_5
29,left_frontal_lobe3
31,left_upper_lobe_primary_5
37,left_frontal_lobe3
41,left_upper_lobe_primary_5
44,left_frontal_lobe2
84,left_frontal_lobe2
47,left_upper_lobe_primary_5
52,left_parailiac_lymph_node
53,left_upper_lobe_primary_5
63,left_frontal_lobe2
65,left_kidney_2
69,left_mediastinal_mass
88,left_frontal_lobe2
5,left_mediastinal_mass
81_1,left_paraaortic_lymph_node_2
dummy_root,left_upper_lobe_primary_5
