vertex,label
3,primary
4,lymphnode
5,oesophagus
6,lymphnode
7,lymphnode
8,lung
9,lymphnode
10,lymphnode
11,lymphnode
13,lung
14,lymphnode	lung	oesophagus
15,oesophagus
16,oesophagus
17,lymphnode
18,lymphnode
19,oesophagus
20,lymphnode
21,primary
23,primary
24,lymphnode
25,lymphnode
26,primary
27,primary
28,lymphnode
29,lymphnode
30,primary
31,primary
32,primary
33,primary
34,lymphnode
35,primary
36,primary
37,oesophagus
38,lymphnode
39,primary
40,lung
41,primary
43,primary
44,primary
45,primary
46,lymphnode
48,lymphnode
50,lymphnode
51,primary
52,primary
53,primary
54,lymphnode
57,su_lymphnode
58,primary
59,primary
60,primary
61,lymphnode
