vertex,label
2,cardiac;kidney;lymphnode;peritoneum;softtissue
3,softtissue
4,softtissue
5,lymphnode
7,primary
8,primary
10,primary
11,primary
12,primary
13,primary
14,primary
15,primary
16,primary
17,lung
19,primary
20,primary
21,softtissue
23,primary
24,primary
25,lung
26,primary
28,peritoneum
29,peritoneum
30,lung;softtissue
32,softtissue
33,peritoneum
34,primary
35,lung
36,lymphnode
37,softtissue
38,cardiac
41,lung
42,softtissue
43,peritoneum
44,lung;softtissue
45,lung
46,lymphnode
47,lymphnode
48,cardiac
51,primary
52,softtissue
53,peritoneum
54,cardiac
56,primary
57,softtissue
