2	brain
4	primary
5	softtissue
6	primary
7	brain
9	primary
10	brain
11	kidney
13	primary
15	primary
16	brain
17	primary
18	primary
19	softtissue
20	primary
21	kidney
22	softtissue
23	primary
24	primary
25	lymphnode
26	primary
27	lymphnode
29	brain
30	brain
31	primary
33	primary
35	primary
37	brain
38	lymphnode
39	primary
40	brain
41	primary
42	primary
43	primary
44	brain
47	primary
48	brain
49	brain
51	primary
52	lymphnode
53	primary
54	primary
56	brain
57	brain
58	primary
61	brain
63	brain
64	brain
65	kidney
67	brain
69	softtissue
70	primary
71	brain
72	primary
73	lymphnode
74	brain
75	lymphnode
76	brain
77	brain
78	softtissue
79	brain
80	softtissue
81	lymphnode softtissue
83	brain
84	brain
85	kidney
88	brain
89	brain
91	softtissue
92	softtissue
93	brain
94	brain
95	kidney
